game_id,agent_param,policy_type
"(0, 0)",4,greedy
"(0, 1)",7,greedy
"(0, 2)",2,greedy
"(0, 3)",7,greedy
"(1, 0)",1,softmax
"(1, 1)",1,softmax
"(1, 2)",1,softmax
"(1, 3)",1,softmax
"(2, 0)",7,greedy
"(2, 1)",4,greedy
"(2, 2)",1,softmax
"(2, 3)",2,greedy
"(3, 0)",1,softmax
"(3, 1)",1,softmax
"(3, 2)",7,greedy
"(3, 3)",1,softmax
"(4, 0)",6,greedy
"(4, 1)",1,softmax
"(4, 2)",1,softmax
"(4, 3)",3,greedy
"(5, 0)",1,greedy
"(5, 1)",6,greedy
"(5, 2)",2,greedy
"(5, 3)",5,softmax
"(6, 0)",1,greedy
"(6, 1)",1,softmax
"(6, 2)",1,softmax
"(6, 3)",4,greedy
"(7, 0)",7,greedy
"(7, 1)",3,softmax
"(7, 2)",7,greedy
"(7, 3)",3,greedy
"(8, 0)",1,greedy
"(8, 1)",1,softmax
"(8, 2)",1,softmax
"(8, 3)",1,softmax
"(9, 0)",7,greedy
"(9, 1)",3,softmax
"(9, 2)",7,greedy
"(9, 3)",1,softmax
